"Gender" "Age_group" "Region_n" "Cancer" "Cases" "Population" "i" "i_P" "i_LOCP" "LOCP_het"
"69" 1 5 7 1 251 59477 7 1 0 "NA"
"70" 2 5 7 1 123 178959 7 1 0 "NA"
"71" 1 1 8 1 11 220172 8 1 0 "NA"
"72" 2 1 8 1 15 199477 8 1 0 "NA"
"73" 1 2 8 1 111 214427 8 1 0 "NA"
"74" 2 2 8 1 41 197384 8 1 0 "NA"
"75" 1 3 8 1 265 143282 8 1 0 "NA"
"76" 2 3 8 1 41 138727 8 1 0 "NA"
"77" 1 4 8 1 236 81697 8 1 0 "NA"
"78" 2 4 8 1 63 118067 8 1 0 "NA"
"79" 1 5 8 1 19 7419 8 1 0 "NA"
"80" 2 5 8 1 12 19116 8 1 0 "NA"
"81" 1 1 9 1 14 223015 9 1 0 "NA"
"82" 2 1 9 1 11 211901 9 1 0 "NA"
"83" 1 2 9 1 173 236347 9 1 0 "NA"
"84" 2 2 9 1 38 220847 9 1 0 "NA"
"85" 1 3 9 1 453 146303 9 1 0 "NA"
"86" 2 3 9 1 40 154784 9 1 0 "NA"
"87" 1 4 9 1 487 93334 9 1 0 "NA"
"88" 2 4 9 1 49 135422 9 1 0 "NA"
"89" 1 5 9 1 25 7007 9 1 0 "NA"
"90" 2 5 9 1 13 16050 9 1 0 "NA"
"91" 1 1 10 1 29 775515 10 1 0 "NA"
"92" 2 1 10 1 16 762227 10 1 0 "NA"
"93" 1 2 10 1 423 648200 10 1 0 "NA"
"94" 2 2 10 1 102 652442 10 1 0 "NA"
"95" 1 3 10 1 1059 383376 10 1 0 "NA"
"96" 2 3 10 1 138 418873 10 1 0 "NA"
"97" 1 4 10 1 765 148236 10 1 0 "NA"
"98" 2 4 10 1 99 228444 10 1 0 "NA"
"99" 1 5 10 1 28 7270 10 1 0 "NA"
"100" 2 5 10 1 15 20211 10 1 0 "NA"
"101" 1 1 11 1 15 399758 11 1 0 "NA"
"102" 2 1 11 1 15 366831 11 1 0 "NA"
"103" 1 2 11 1 181 309532 11 1 0 "NA"
"104" 2 2 11 1 53 297830 11 1 0 "NA"
"105" 1 3 11 1 451 195302 11 1 0 "NA"
"106" 2 3 11 1 55 209905 11 1 0 "NA"
"107" 1 4 11 1 365 98144 11 1 0 "NA"
"108" 2 4 11 1 54 137739 11 1 0 "NA"
"109" 1 5 11 1 22 6911 11 1 0 "NA"
"110" 2 5 11 1 11 16489 11 1 0 "NA"
"111" 1 1 12 1 12 310774 12 1 0 "NA"
"112" 2 1 12 1 10 287122 12 1 0 "NA"
"113" 1 2 12 1 198 272790 12 1 0 "NA"
"114" 2 2 12 1 43 263432 12 1 0 "NA"
"115" 1 3 12 1 430 161426 12 1 0 "NA"
"116" 2 3 12 1 48 181870 12 1 0 "NA"
"117" 1 4 12 1 474 103368 12 1 0 "NA"
"118" 2 4 12 1 71 147221 12 1 0 "NA"
"119" 1 5 12 1 27 7244 12 1 0 "NA"
"120" 2 5 12 1 11 16717 12 1 0 "NA"
"121" 1 1 13 1 18 455759 13 1 0 "NA"
"122" 2 1 13 1 11 443075 13 1 0 "NA"
"123" 1 2 13 1 222 420771 13 1 0 "NA"
"124" 2 2 13 1 48 424546 13 1 0 "NA"
"125" 1 3 13 1 584 248321 13 1 0 "NA"
"126" 2 3 13 1 69 282427 13 1 0 "NA"
"127" 1 4 13 1 595 138910 13 1 0 "NA"
"128" 2 4 13 1 79 211741 13 1 0 "NA"
"129" 1 5 13 1 25 8901 13 1 0 "NA"
"130" 2 5 13 1 14 23216 13 1 0 "NA"
"131" 1 1 14 1 25 680180 14 1 0 "NA"
"132" 2 1 14 1 20 682126 14 1 0 "NA"
"133" 1 2 14 1 448 595375 14 1 0 "NA"
"134" 2 2 14 1 137 621891 14 1 0 "NA"
"135" 1 3 14 1 1164 449873 14 1 0 "NA"
"136" 2 3 14 1 153 511350 14 1 0 "NA"
"137" 1 4 14 1 855 237302 14 1 0 "NA"
"138" 2 4 14 1 189 369402 14 1 0 "NA"
"139" 1 5 14 1 56 16772 14 1 0 "NA"
"140" 2 5 14 1 25 47482 14 1 0 "NA"
"141" 1 1 15 1 10 123936 15 1 0 "NA"
"142" 2 1 15 1 15 107155 15 1 0 "NA"
"143" 1 2 15 1 59 115485 15 1 0 "NA"
"144" 2 2 15 1 12 103790 15 1 0 "NA"
"145" 1 3 15 1 194 72664 15 1 0 "NA"
"146" 2 3 15 1 15 77240 15 1 0 "NA"
"147" 1 4 15 1 202 56262 15 1 0 "NA"
"148" 2 4 15 1 25 72440 15 1 0 "NA"
"149" 1 5 15 1 15 4528 15 1 0 "NA"
"150" 2 5 15 1 12 9014 15 1 0 "NA"
"151" 1 1 16 1 14 498514 16 1 0 "NA"
"152" 2 1 16 1 14 456769 16 1 0 "NA"
"153" 1 2 16 1 178 398321 16 1 0 "NA"
"154" 2 2 16 1 85 379323 16 1 0 "NA"
"155" 1 3 16 1 528 243029 16 1 0 "NA"
"156" 2 3 16 1 105 253008 16 1 0 "NA"
"157" 1 4 16 1 479 119906 16 1 0 "NA"
"158" 2 4 16 1 79 170198 16 1 0 "NA"
"159" 1 5 16 1 25 9043 16 1 0 "NA"
"160" 2 5 16 1 13 22570 16 1 0 "NA"
"161" 1 1 17 1 17 558690 17 1 0 "NA"
"162" 2 1 17 1 13 536436 17 1 0 "NA"
"163" 1 2 17 1 239 475203 17 1 0 "NA"
"164" 2 2 17 1 73 481783 17 1 0 "NA"
"165" 1 3 17 1 564 282963 17 1 0 "NA"
"166" 2 3 17 1 91 317587 17 1 0 "NA"
"167" 1 4 17 1 575 147848 17 1 0 "NA"
"168" 2 4 17 1 87 216248 17 1 0 "NA"
"169" 1 5 17 1 31 8560 17 1 0 "NA"
"170" 2 5 17 1 17 20294 17 1 0 "NA"
"171" 1 1 18 1 15 185584 18 1 0 "NA"
"172" 2 1 18 1 11 165889 18 1 0 "NA"
"173" 1 2 18 1 56 135786 18 1 0 "NA"
"174" 2 2 18 1 27 121834 18 1 0 "NA"
"175" 1 3 18 1 156 69424 18 1 0 "NA"
"176" 2 3 18 1 24 68083 18 1 0 "NA"
"177" 1 4 18 1 162 42691 18 1 0 "NA"
"178" 2 4 18 1 31 54951 18 1 0 "NA"
"179" 1 5 18 1 16 4228 18 1 0 "NA"
"180" 2 5 18 1 12 8919 18 1 0 "NA"
"181" 1 1 19 1 12 426730 19 1 0 "NA"
"182" 2 1 19 1 11 404938 19 1 0 "NA"
"183" 1 2 19 1 277 388811 19 1 0 "NA"
"184" 2 2 19 1 153 392515 19 1 0 "NA"
"185" 1 3 19 1 579 274000 19 1 0 "NA"
"186" 2 3 19 1 173 300464 19 1 0 "NA"
"187" 1 4 19 1 460 129613 19 1 0 "NA"
"188" 2 4 19 1 101 203139 19 1 0 "NA"
"189" 1 5 19 1 23 7908 19 1 0 "NA"
"190" 2 5 19 1 19 26614 19 1 0 "NA"
"191" 1 1 20 1 12 338612 20 1 0 "NA"
"192" 2 1 20 1 15 329031 20 1 0 "NA"
"193" 1 2 20 1 188 263099 20 1 0 "NA"
"194" 2 2 20 1 54 262553 20 1 0 "NA"
"195" 1 3 20 1 470 160491 20 1 0 "NA"
"196" 2 3 20 1 54 170550 20 1 0 "NA"
"197" 1 4 20 1 321 70874 20 1 0 "NA"
"198" 2 4 20 1 44 108516 20 1 0 "NA"
"199" 1 5 20 1 18 4152 20 1 0 "NA"
"200" 2 5 20 1 10 11345 20 1 0 "NA"
"201" 1 1 21 1 11 138672 21 1 0 "NA"
"202" 2 1 21 1 12 121644 21 1 0 "NA"
"203" 1 2 21 1 54 126613 21 1 0 "NA"
"204" 2 2 21 1 20 115536 21 1 0 "NA"
"205" 1 3 21 1 154 80767 21 1 0 "NA"
"206" 2 3 21 1 23 81288 21 1 0 "NA"
"207" 1 4 21 1 194 55888 21 1 0 "NA"
"208" 2 4 21 1 50 72088 21 1 0 "NA"
"209" 1 5 21 1 21 5223 21 1 0 "NA"
"210" 2 5 21 1 14 11069 21 1 0 "NA"
"211" 1 1 22 1 15 376934 22 1 0 "NA"
"212" 2 1 22 1 10 349109 22 1 0 "NA"
"213" 1 2 22 1 180 352556 22 1 0 "NA"
"214" 2 2 22 1 42 345692 22 1 0 "NA"
"215" 1 3 22 1 440 197963 22 1 0 "NA"
"216" 2 3 22 1 54 228075 22 1 0 "NA"
"217" 1 4 22 1 448 125603 22 1 0 "NA"
"218" 2 4 22 1 60 179288 22 1 0 "NA"
"219" 1 5 22 1 24 7411 22 1 0 "NA"
"220" 2 5 22 1 15 17046 22 1 0 "NA"
"221" 1 1 23 1 11 265823 23 1 0 "NA"
"222" 2 1 23 1 10 256629 23 1 0 "NA"
"223" 1 2 23 1 197 279889 23 1 0 "NA"
"224" 2 2 23 1 60 271862 23 1 0 "NA"
"225" 1 3 23 1 434 189408 23 1 0 "NA"
"226" 2 3 23 1 67 205025 23 1 0 "NA"
"227" 1 4 23 1 459 133053 23 1 0 "NA"
"228" 2 4 23 1 85 193793 23 1 0 "NA"
"229" 1 5 23 1 38 11764 23 1 0 "NA"
"230" 2 5 23 1 19 26862 23 1 0 "NA"
"231" 1 1 24 1 15 294608 24 1 0 "NA"
"232" 2 1 24 1 15 252969 24 1 0 "NA"
"233" 1 2 24 1 133 238286 24 1 0 "NA"
"234" 2 2 24 1 42 215336 24 1 0 "NA"
"235" 1 3 24 1 262 138722 24 1 0 "NA"
"236" 2 3 24 1 50 147301 24 1 0 "NA"
"237" 1 4 24 1 263 84965 24 1 0 "NA"
"238" 2 4 24 1 59 117134 24 1 0 "NA"
"239" 1 5 24 1 16 7484 24 1 0 "NA"
"240" 2 5 24 1 12 16568 24 1 0 "NA"
"241" 1 1 25 1 14 202532 25 1 0 "NA"
"242" 2 1 25 1 12 187300 25 1 0 "NA"
"243" 1 2 25 1 101 172022 25 1 0 "NA"
"244" 2 2 25 1 36 166828 25 1 0 "NA"
"245" 1 3 25 1 220 110575 25 1 0 "NA"
"246" 2 3 25 1 25 114294 25 1 0 "NA"
"247" 1 4 25 1 235 61463 25 1 0 "NA"
"248" 2 4 25 1 52 87542 25 1 0 "NA"
"249" 1 5 25 1 19 4988 25 1 0 "NA"
"250" 2 5 25 1 12 12565 25 1 0 "NA"
"251" 1 1 26 1 15 182844 26 1 0 "NA"
"252" 2 1 26 1 10 179721 26 1 0 "NA"
"253" 1 2 26 1 137 188790 26 1 0 "NA"
"254" 2 2 26 1 31 182856 26 1 0 "NA"
"255" 1 3 26 1 320 146457 26 1 0 "NA"
"256" 2 3 26 1 51 156213 26 1 0 "NA"
"257" 1 4 26 1 317 106271 26 1 0 "NA"
"258" 2 4 26 1 78 151020 26 1 0 "NA"
"259" 1 5 26 1 22 10540 26 1 0 "NA"
"260" 2 5 26 1 23 22609 26 1 0 "NA"
"261" 1 1 27 1 90 4305080 27 1 0 "NA"
"262" 2 1 27 1 61 4327500 27 1 0 "NA"
"263" 1 2 27 1 1446 3184287 27 1 0 "NA"
"264" 2 2 27 1 738 3455987 27 1 0 "NA"
"265" 1 3 27 1 4148 1927621 27 1 0 "NA"
"266" 2 3 27 1 1025 2307276 27 1 0 "NA"
"267" 1 4 27 1 3826 877814 27 1 0 "NA"
"268" 2 4 27 1 873 1410044 27 1 0 "NA"
"269" 1 5 27 1 294 63147 27 1 0 "NA"
"270" 2 5 27 1 165 192586 27 1 0 "NA"
"271" 1 1 28 1 34 1027438 28 1 0 "NA"
"272" 2 1 28 1 14 1016342 28 1 0 "NA"
"273" 1 2 28 1 471 828597 28 1 0 "NA"
"274" 2 2 28 1 156 858185 28 1 0 "NA"
"275" 1 3 28 1 1275 549469 28 1 0 "NA"
"276" 2 3 28 1 266 595403 28 1 0 "NA"
"277" 1 4 28 1 979 223095 28 1 0 "NA"
"278" 2 4 28 1 194 314810 28 1 0 "NA"
"279" 1 5 28 1 45 14221 28 1 0 "NA"
"280" 2 5 28 1 21 32116 28 1 0 "NA"
"281" 1 1 29 1 25 1003189 29 1 0 "NA"
"282" 2 1 29 1 15 902330 29 1 0 "NA"
"283" 1 2 29 1 386 720042 29 1 0 "NA"
"284" 2 2 29 1 105 704482 29 1 0 "NA"
"285" 1 3 29 1 1006 413970 29 1 0 "NA"
"286" 2 3 29 1 135 457801 29 1 0 "NA"
"287" 1 4 29 1 896 201113 29 1 0 "NA"
"288" 2 4 29 1 141 287972 29 1 0 "NA"
"289" 1 5 29 1 45 11436 29 1 0 "NA"
"290" 2 5 29 1 18 27141 29 1 0 "NA"
"291" 1 1 30 1 12 406288 30 1 0 "NA"
"292" 2 1 30 1 10 377830 30 1 0 "NA"
"293" 1 2 30 1 196 341288 30 1 0 "NA"
"294" 2 2 30 1 97 328334 30 1 0 "NA"
"295" 1 3 30 1 514 220505 30 1 0 "NA"
"296" 2 3 30 1 116 231461 30 1 0 "NA"
"297" 1 4 30 1 466 111698 30 1 0 "NA"
"298" 2 4 30 1 99 162030 30 1 0 "NA"
"299" 1 5 30 1 22 8749 30 1 0 "NA"
"300" 2 5 30 1 13 24790 30 1 0 "NA"
"301" 1 1 31 1 12 167691 31 1 0 "NA"
"302" 2 1 31 1 10 164170 31 1 0 "NA"
"303" 1 2 31 1 117 167012 31 1 0 "NA"
"304" 2 2 31 1 32 168153 31 1 0 "NA"
"305" 1 3 31 1 296 147480 31 1 0 "NA"
"306" 2 3 31 1 65 162634 31 1 0 "NA"
"307" 1 4 31 1 330 101764 31 1 0 "NA"
"308" 2 4 31 1 92 144693 31 1 0 "NA"
"309" 1 5 31 1 24 9332 31 1 0 "NA"
"310" 2 5 31 1 17 22784 31 1 0 "NA"
"311" 1 1 32 1 21 617614 32 1 0 "NA"
"312" 2 1 32 1 12 607227 32 1 0 "NA"
"313" 1 2 32 1 519 604163 32 1 0 "NA"
"314" 2 2 32 1 210 632581 32 1 0 "NA"
"315" 1 3 32 1 1161 424570 32 1 0 "NA"
"316" 2 3 32 1 227 485196 32 1 0 "NA"
"317" 1 4 32 1 1152 236628 32 1 0 "NA"
"318" 2 4 32 1 230 379848 32 1 0 "NA"
"319" 1 5 32 1 87 17103 32 1 0 "NA"
"320" 2 5 32 1 46 50835 32 1 0 "NA"
"321" 1 1 33 1 12 90837 33 1 0 "NA"
"322" 2 1 33 1 10 85033 33 1 0 "NA"
"323" 1 2 33 1 49 103423 33 1 0 "NA"
"324" 2 2 33 1 20 96358 33 1 0 "NA"
"325" 1 3 33 1 173 68317 33 1 0 "NA"
"326" 2 3 33 1 33 66722 33 1 0 "NA"
"327" 1 4 33 1 149 40299 33 1 0 "NA"
"328" 2 4 33 1 26 61819 33 1 0 "NA"
"329" 1 5 33 1 20 3507 33 1 0 "NA"
"330" 2 5 33 1 14 9706 33 1 0 "NA"
"331" 1 1 34 1 11 597140 34 1 0 "NA"
"332" 2 1 34 1 12 588211 34 1 0 "NA"
"333" 1 2 34 1 361 488765 34 1 0 "NA"
"334" 2 2 34 1 139 509521 34 1 0 "NA"
"335" 1 3 34 1 883 351742 34 1 0 "NA"
"336" 2 3 34 1 166 396948 34 1 0 "NA"
"337" 1 4 34 1 732 168945 34 1 0 "NA"
"338" 2 4 34 1 163 275097 34 1 0 "NA"
"339" 1 5 34 1 43 12190 34 1 0 "NA"
"340" 2 5 34 1 35 36841 34 1 0 "NA"
"341" 1 1 35 1 14 184316 35 1 0 "NA"
"342" 2 1 35 1 13 181022 35 1 0 "NA"
"343" 1 2 35 1 100 190109 35 1 0 "NA"
"344" 2 2 35 1 30 187538 35 1 0 "NA"
"345" 1 3 35 1 280 133865 35 1 0 "NA"
"346" 2 3 35 1 42 146542 35 1 0 "NA"
"347" 1 4 35 1 336 90838 35 1 0 "NA"
"348" 2 4 35 1 52 126649 35 1 0 "NA"
"349" 1 5 35 1 34 8794 35 1 0 "NA"
"350" 2 5 35 1 12 20435 35 1 0 "NA"
"351" 1 1 36 1 10 363168 36 1 0 "NA"
"352" 2 1 36 1 11 353731 36 1 0 "NA"
"353" 1 2 36 1 191 328394 36 1 0 "NA"
"354" 2 2 36 1 104 331164 36 1 0 "NA"
"355" 1 3 36 1 572 209447 36 1 0 "NA"
"356" 2 3 36 1 101 231036 36 1 0 "NA"
"357" 1 4 36 1 525 109541 36 1 0 "NA"
"358" 2 4 36 1 101 169493 36 1 0 "NA"
"359" 1 5 36 1 41 7901 36 1 0 "NA"
"360" 2 5 36 1 24 24757 36 1 0 "NA"
"361" 1 1 37 1 15 94745 37 1 0 "NA"
"362" 2 1 37 1 11 85785 37 1 0 "NA"
"363" 1 2 37 1 38 92642 37 1 0 "NA"
"364" 2 2 37 1 17 83527 37 1 0 "NA"
"365" 1 3 37 1 130 55768 37 1 0 "NA"
"366" 2 3 37 1 14 55699 37 1 0 "NA"
"367" 1 4 37 1 141 38428 37 1 0 "NA"
"368" 2 4 37 1 26 52789 37 1 0 "NA"
"369" 1 5 37 1 13 3564 37 1 0 "NA"
"370" 2 5 37 1 10 8339 37 1 0 "NA"
"371" 1 1 38 1 41 1234585 38 1 0 "NA"
"372" 2 1 38 1 23 1217995 38 1 0 "NA"
"373" 1 2 38 1 585 962739 38 1 0 "NA"
"374" 2 2 38 1 184 990779 38 1 0 "NA"
"375" 1 3 38 1 1569 575601 38 1 0 "NA"
"376" 2 3 38 1 182 654209 38 1 0 "NA"
"377" 1 4 38 1 1155 236742 38 1 0 "NA"
"378" 2 4 38 1 170 390355 38 1 0 "NA"
"379" 1 5 38 1 58 13389 38 1 0 "NA"
"380" 2 5 38 1 19 39265 38 1 0 "NA"
"381" 1 1 39 1 14 51428 39 1 0 "NA"
"382" 2 1 39 1 14 45871 39 1 0 "NA"
"383" 1 2 39 1 26 54172 39 1 0 "NA"
"384" 2 2 39 1 11 46695 39 1 0 "NA"
"385" 1 3 39 1 48 35859 39 1 0 "NA"
"386" 2 3 39 1 12 34205 39 1 0 "NA"
"387" 1 4 39 1 85 26971 39 1 0 "NA"
"388" 2 4 39 1 13 35273 39 1 0 "NA"
"389" 1 5 39 1 12 2922 39 1 0 "NA"
"390" 2 5 39 1 10 6461 39 1 0 "NA"
"391" 1 1 40 1 16 538292 40 1 0 "NA"
"392" 2 1 40 1 10 485495 40 1 0 "NA"
"393" 1 2 40 1 229 413609 40 1 0 "NA"
"394" 2 2 40 1 100 398504 40 1 0 "NA"
"395" 1 3 40 1 611 270448 40 1 0 "NA"
"396" 2 3 40 1 107 280573 40 1 0 "NA"
"397" 1 4 40 1 497 129990 40 1 0 "NA"
"398" 2 4 40 1 93 180187 40 1 0 "NA"
"399" 1 5 40 1 25 10180 40 1 0 "NA"
"400" 2 5 40 1 23 23504 40 1 0 "NA"
"401" 1 1 41 1 13 80628 41 1 0 "NA"
"402" 2 1 41 1 13 69578 41 1 0 "NA"
"403" 1 2 41 1 43 80934 41 1 0 "NA"
"404" 2 2 41 1 12 70525 41 1 0 "NA"
"405" 1 3 41 1 111 50942 41 1 0 "NA"
"406" 2 3 41 1 17 50187 41 1 0 "NA"
"407" 1 4 41 1 122 41330 41 1 0 "NA"
"408" 2 4 41 1 20 51232 41 1 0 "NA"
"409" 1 5 41 1 15 3440 41 1 0 "NA"
"410" 2 5 41 1 12 7324 41 1 0 "NA"
"411" 1 1 42 1 15 468687 42 1 0 "NA"
"412" 2 1 42 1 13 424018 42 1 0 "NA"
"413" 1 2 42 1 217 354369 42 1 0 "NA"
"414" 2 2 42 1 55 329265 42 1 0 "NA"
"415" 1 3 42 1 533 207279 42 1 0 "NA"
"416" 2 3 42 1 58 216075 42 1 0 "NA"
"417" 1 4 42 1 595 123878 42 1 0 "NA"
"418" 2 4 42 1 79 167084 42 1 0 "NA"
"419" 1 5 42 1 55 9816 42 1 0 "NA"
"420" 2 5 42 1 14 21524 42 1 0 "NA"
"421" 1 1 43 1 74 1681667 43 1 0 "NA"
"422" 2 1 43 1 44 1577220 43 1 0 "NA"
"423" 1 2 43 1 992 1331022 43 1 0 "NA"
"424" 2 2 43 1 366 1346676 43 1 0 "NA"
"425" 1 3 43 1 2255 837196 43 1 0 "NA"
"426" 2 3 43 1 368 956667 43 1 0 "NA"
"427" 1 4 43 1 1864 390182 43 1 0 "NA"
"428" 2 4 43 1 326 604019 43 1 0 "NA"
"429" 1 5 43 1 91 24085 43 1 0 "NA"
"430" 2 5 43 1 45 66469 43 1 0 "NA"
"431" 1 1 44 1 11 327360 44 1 0 "NA"
"432" 2 1 44 1 11 315476 44 1 0 "NA"
"433" 1 2 44 1 169 287665 44 1 0 "NA"
"434" 2 2 44 1 65 296410 44 1 0 "NA"
"435" 1 3 44 1 509 206283 44 1 0 "NA"
"436" 2 3 44 1 86 221492 44 1 0 "NA"
"437" 1 4 44 1 429 97413 44 1 0 "NA"
"438" 2 4 44 1 85 143017 44 1 0 "NA"
"439" 1 5 44 1 41 7351 44 1 0 "NA"
"440" 2 5 44 1 15 20453 44 1 0 "NA"
"441" 1 1 45 1 23 691523 45 1 0 "NA"
"442" 2 1 45 1 21 668267 45 1 0 "NA"
"443" 1 2 45 1 469 641158 45 1 0 "NA"
"444" 2 2 45 1 223 667292 45 1 0 "NA"
"445" 1 3 45 1 1108 429919 45 1 0 "NA"
"446" 2 3 45 1 235 490900 45 1 0 "NA"
"447" 1 4 45 1 913 224877 45 1 0 "NA"
"448" 2 4 45 1 213 354718 45 1 0 "NA"
"449" 1 5 45 1 43 12910 45 1 0 "NA"
"450" 2 5 45 1 29 42651 45 1 0 "NA"
"451" 1 1 46 1 13 95223 46 1 0 "NA"
"452" 2 1 46 1 10 87945 46 1 0 "NA"
"453" 1 2 46 1 66 107162 46 1 0 "NA"
"454" 2 2 46 1 17 97417 46 1 0 "NA"
"455" 1 3 46 1 171 81833 46 1 0 "NA"
"456" 2 3 46 1 26 84086 46 1 0 "NA"
"457" 1 4 46 1 211 62392 46 1 0 "NA"
"458" 2 4 46 1 35 84695 46 1 0 "NA"
"459" 1 5 46 1 12 6016 46 1 0 "NA"
"460" 2 5 46 1 11 12760 46 1 0 "NA"
"461" 1 1 47 1 20 612627 47 1 0 "NA"
"462" 2 1 47 1 14 569243 47 1 0 "NA"
"463" 1 2 47 1 335 511378 47 1 0 "NA"
"464" 2 2 47 1 128 508450 47 1 0 "NA"
"465" 1 3 47 1 952 335808 47 1 0 "NA"
"466" 2 3 47 1 163 373584 47 1 0 "NA"
"467" 1 4 47 1 858 183514 47 1 0 "NA"
"468" 2 4 47 1 137 275004 47 1 0 "NA"
"469" 1 5 47 1 53 14195 47 1 0 "NA"
"470" 2 5 47 1 17 38181 47 1 0 "NA"
"471" 1 1 1 2 12 207627 48 0 1 "1"
"472" 2 1 1 2 12 192628 48 0 1 "1"
"473" 1 2 1 2 20 175676 48 0 1 "1"
"474" 2 2 1 2 11 177882 48 0 1 "1"
"475" 1 3 1 2 28 120875 48 0 1 "1"
"476" 2 3 1 2 13 125814 48 0 1 "1"
"477" 1 4 1 2 10 55846 48 0 1 "1"
"478" 2 4 1 2 14 77929 48 0 1 "1"
"479" 1 5 1 2 15 3593 48 0 1 "1"
"480" 2 5 1 2 13 10822 48 0 1 "1"
"481" 1 1 2 2 15 244568 49 0 1 "2"
"482" 2 1 2 2 10 226666 49 0 1 "2"
"483" 1 2 2 2 30 208622 49 0 1 "2"
"484" 2 2 2 2 13 202408 49 0 1 "2"
"485" 1 3 2 2 30 123491 49 0 1 "2"
"486" 2 3 2 2 14 133685 49 0 1 "2"
"487" 1 4 2 2 21 76925 49 0 1 "2"
"488" 2 4 2 2 10 103996 49 0 1 "2"
"489" 1 5 2 2 13 5267 49 0 1 "2"
"490" 2 5 2 2 12 11563 49 0 1 "2"
"491" 1 1 3 2 12 1181438 50 0 1 "3"
"492" 2 1 3 2 11 1107844 50 0 1 "3"
"493" 1 2 3 2 86 976067 50 0 1 "3"
"494" 2 2 3 2 27 983248 50 0 1 "3"
"495" 1 3 3 2 155 740320 50 0 1 "3"
